frame,id,label,conf,center_x,center_y
45,5,person,0.8592423796653748,719,231
45,1,person,0.8423571586608887,780,339
45,9,person,0.6606587767601013,85,195
45,4,person,0.6239913702011108,385,128
45,6,person,0.5717997550964355,487,173
46,1,person,0.8498477935791016,781,342
46,5,person,0.8455235362052917,720,232
46,9,person,0.6945746541023254,84,194
46,11,person,0.5794464349746704,323,260
46,3,person,0.5236537456512451,472,323
46,4,person,0.522503137588501,384,128
47,1,person,0.8603307604789734,784,345
47,5,person,0.8174257874488831,722,233
47,11,person,0.7143027186393738,322,259
47,9,person,0.6608983278274536,85,194
47,15,person,0.5815460085868835,635,246
47,4,person,0.577971875667572,385,128
47,3,person,0.5471537113189697,472,325
47,6,person,0.5166481137275696,490,175
48,1,person,0.8583196997642517,786,346
48,5,person,0.8185938596725464,726,234
48,11,person,0.7509382367134094,322,258
48,9,person,0.7020170092582703,85,194
48,4,person,0.5971937775611877,386,129
48,15,person,0.5919761657714844,638,226
48,2,person,0.5339534282684326,491,176
49,1,person,0.8563905954360962,784,348
49,5,person,0.8520965576171875,730,234
49,11,person,0.7300511598587036,320,259
49,4,person,0.6213384866714478,387,129
49,2,person,0.6094272136688232,492,176
49,15,person,0.5848445892333984,641,225
49,9,person,0.5700637102127075,85,194
49,3,person,0.5648708939552307,474,325
49,14,person,0.5340917110443115,591,280
49,2,person,0.5104535222053528,524,169
50,1,person,0.8615630865097046,788,348
50,5,person,0.8429303765296936,732,235
50,11,person,0.7780035734176636,319,258
50,2,person,0.6136339902877808,493,175
50,4,person,0.5920826196670532,387,129
50,9,person,0.5344116687774658,87,193
50,15,person,0.5234612822532654,643,224
51,1,person,0.867737889289856,789,349
51,5,person,0.8410017490386963,732,236
51,11,person,0.7429894804954529,318,259
51,2,person,0.6034600734710693,494,176
51,15,person,0.5956248044967651,644,225
51,14,person,0.5883092880249023,597,279
51,9,person,0.5818160772323608,86,192
51,4,person,0.5161322951316833,387,129
52,1,person,0.8699584007263184,790,350
52,5,person,0.818169355392456,733,237
52,11,person,0.7507969737052917,316,258
52,9,person,0.6744179129600525,129,160
52,15,person,0.6423144936561584,646,225
52,9,person,0.59414142370224,86,192
52,3,person,0.5869821906089783,477,325
52,14,person,0.5791550278663635,601,276
52,2,person,0.5478323101997375,494,176
52,4,person,0.5352693796157837,388,129
52,16,person,0.5252203941345215,54,396
53,1,person,0.8643090128898621,790,352
53,5,person,0.7813311815261841,735,237
53,11,person,0.70615553855896,315,258
53,9,person,0.6904271245002747,128,159
53,15,person,0.62437504529953,647,225
53,14,person,0.575750470161438,602,275
